"id","indications_and_usage"
"2eb93d7c-3310-4b93-e054-00144ff88e88","Uses Homeopathic remedy for distractability, mood and restlessness; assists with concentration. *This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease."
"b84ccb27-9c52-43b9-9a46-8f52a571045e","1 INDICATIONS AND USAGE Levocetirizine dihydrochloride tablets are a histamine H1\u2011receptor antagonist indicated for: \u2022The relief of symptoms associated with seasonal and perennial allergic rhinitis (1.1, 1.2) \u2022The treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria (1.3) 1.1 Seasonal Allergic Rhinitis Levocetirizine dihydrochloride tablets are indicated for the relief of symptoms associated with seasonal allergic rhinitis in adults and children 6 years of age and older. 1.2 Perennial Allergic Rhinitis Levocetirizine dihydrochloride tablets are indicated for the relief of symptoms associated with perennial allergic rhinitis in adults and children 6 years of age and older. 1.3 Chronic Idiopathic Urticaria Levocetirizine dihydrochloride tablets are indicated for the treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria in adults and children 6 years of age and older."
"1e99f1a3-95bc-4108-8395-430a32c4f292","Uses helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive"
"568b33a3-bf77-40dd-a498-6de6d12190ff","INDICATIONS & USAGE Indications & Usage: 1. After washing, prepare for mask treatment and tone skin by moisturizing your skin 2. Wear the mask, follow the cutting leave the eyes and mouth a space 3. Leave the mask 10 to 20 minutes and take it off. 4. Massage and dab the face gently let the essence absorb into skin cell well."
"d11cde63-2276-4fc7-ad87-e696d3aa7a22","Uses for treatment of acne"
"2fd03dcf-7870-234a-e054-00144ff88e88","Use For hand washing to decrease bacteria on the skin. Recommended for repeated use."
"2ff9e8e9-b8a2-244e-e054-00144ff8d46c","Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun"
"a729707a-4add-4db6-aa48-cf71bcc9e2d8","Directions take only as directed use dose cup or tablespoon (TBSP) do not exceed 4 doses per 24 hrs adults & children 12 yrs & over 30 mL (2 TBSP) every 6 hrs children 4 to under 12 yrs ask a doctor children under 4 yrs do not use"
"eea7cf19-1501-410d-97c5-3d79d071ae07","Uses relieves occasional constipation (irregularity) generally produces bowel movement in 6 to 8 hours"
"4603c1ef-bf2f-42e8-9b25-92c1abdfe0f5","Direction Direction: -For best use, use BARAMO Scalp Serum twice of daily after cleans your hair. It helps your scalp get healthy through the day and the night. -Apply to dry scalp & gently massage on problematic area. -Leave on your scalp. -Do not rinse off. -Condition your hair with BARAMO Hair Essence for silky hair."
"0560dcd3-7eab-4f3c-a89e-3a6bfd920e99","Directions Directions Apply liberally 15 minutes before sun exposure reapply at least every 2 hours use a water resistnat sunscreen if swimming or sweating children under 6 months of age: Ask a doctor Sun Protection Measures. Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: Limit time in the sun, especially from 10 a.m - 2 p.m. wear long-sleeved shirts,pants,hats and sunglasses."
"696083fb-74b7-4280-8593-e05042d4e1dd","INDICATIONS: For temporary relief of trauma, terror, panic, tension, fear and the effects of startling experiences.** **These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration."
"817cbad3-d118-4572-b20b-1ba4bedba396","HOMEOPATHIC INDICATIONS: For temporary relief of symptoms related to miasmic conditions including skin rashes, itching, dry coughs, and warts.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration."
"a7a9fb34-72fe-4e22-b913-c57648d7a20e","Use temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold"
"c3ea0e7d-d5f0-47e2-b8ca-f934aa37a903","INDICATIONS: For temporary relief of pain, swelling and bruising."
"0b2503ae-dca7-4c5f-8622-2c9366aab351","Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia."
